,Veces jugadas,DMG/partida,Vision/partida,cs/partida,kill/partida,deaths/partida,assists/partida
MonkeyKing,36.0,19253.25,34.25,36.75,8.58333333333333,4.000000000000001,12.25
Sylas,6.0,18198.0,21.5,17.0,5.0,3.5,8.5
XinZhao,21.0,10989.0,23.142857142857142,26.142857142857142,4.142857142857143,4.857142857142857,6.571428571428571
Trundle,9.0,28482.0,33.666666666666664,45.333333333333336,10.666666666666666,4.333333333333333,19.0
Kindred,6.0,25094.0,46.0,55.5,10.5,3.0,8.5
Gragas,33.0,18689.727272727272,30.727272727272727,26.818181818181817,6.090909090909091,5.2727272727272725,9.909090909090908
Hecarim,27.0,11292.777777777777,25.77777777777778,25.11111111111111,5.111111111111111,4.777777777777778,6.0
Graves,15.0,16503.600000000002,47.4,51.2,4.8,4.8,12.0
LeeSin,69.0,11910.826086956522,26.52173913043478,19.652173913043477,6.0434782608695645,4.521739130434782,8.08695652173913
Vi,42.0,9969.07142857143,26.285714285714285,19.64285714285714,5.214285714285714,3.7142857142857144,7.642857142857143
Jax,6.0,8967.5,18.0,9.5,7.0,1.5,2.5
Nidalee,30.0,11546.4,22.2,18.700000000000006,5.2,5.3,4.9
Renata,9.0,8164.666666666667,76.33333333333333,20.666666666666668,1.0,10.333333333333334,9.666666666666666
Viego,36.0,11302.583333333334,30.916666666666668,25.666666666666668,4.583333333333333,5.166666666666667,6.5
Belveth,6.0,7302.0,28.0,18.0,4.0,6.0,7.0
JarvanIV,36.0,12015.166666666666,30.333333333333332,27.25,5.75,2.8333333333333335,13.75
Braum,6.0,12002.5,83.0,30.0,2.0,4.5,23.0
Sejuani,42.0,14980.642857142857,29.285714285714285,26.642857142857142,4.428571428571427,4.42857142857143,12.785714285714286
Soraka,6.0,5927.5,74.5,25.0,0.0,6.5,14.5
FiddleSticks,3.0,5301.0,30.0,20.0,1.0,3.0,4.0
Skarner,36.0,6728.083333333333,28.583333333333332,15.666666666666666,2.166666666666667,4.0,11.0
Lillia,9.0,23272.333333333332,37.333333333333336,35.666666666666664,6.333333333333333,6.0,9.0
Gangplank,3.0,14813.0,31.0,241.0,4.0,4.0,12.0
Maokai,12.0,20750.5,37.25,33.5,3.25,3.75,19.5
Lux,3.0,11068.0,65.0,19.0,3.0,7.0,11.0
Elise,3.0,23903.0,37.0,19.0,1.0,13.0,14.0
DrMundo,6.0,27215.0,28.5,42.5,7.0,7.0,6.5
Janna,6.0,4101.0,66.5,17.5,0.5,7.5,10.0
Thresh,12.0,5689.75,47.0,25.5,2.25,6.75,13.25
Olaf,9.0,13600.666666666666,32.333333333333336,40.0,3.0,7.666666666666667,7.333333333333333
Poppy,9.0,10962.666666666666,31.666666666666668,31.333333333333332,3.3333333333333335,5.333333333333333,9.0
Amumu,6.0,11594.5,25.5,22.5,3.0,4.5,14.5
Rammus,6.0,14405.0,24.0,33.0,3.0,6.5,13.5
Nocturne,3.0,12675.0,28.0,19.0,9.0,1.0,7.0
Kayn,6.0,12857.5,25.5,12.0,5.5,5.0,7.0
Nunu,3.0,7407.0,28.0,13.0,4.0,0.0,14.0
Karma,6.0,11271.0,87.5,27.0,3.5,10.0,22.0
Udyr,3.0,33646.0,36.0,53.0,9.0,9.0,14.0
Diana,9.0,20675.666666666668,28.666666666666668,41.0,9.333333333333334,6.333333333333333,9.0
Nami,3.0,9362.0,88.0,12.0,0.0,12.0,24.0
Alistar,3.0,4061.0,35.0,27.0,1.0,7.0,3.0
